Census year,Add,Shop,Seating type,Number of seats
2002,"Shop 4, 331 Bourke Street MELBOURNE 3000",Oscars On Royal,Seats - Indoor,80
2002,"Unit 1, Basement , 168 Bourke Street MELBOURNE 3000",Melbourne Bar & Bistro,Seats - Indoor,120
2002,"Shop 3, 318-322 Little Collins Street MELBOURNE 3000",Gourmet Curry Hut,Seats - Indoor,23
2002,"Shop 8, 318-322 Little Collins Street MELBOURNE 3000",Quist Danish Coffee Shop (Hub Arcade),Seats - Outdoor,24
2002,"Gnd & Mezz , 306 Little Collins Street MELBOURNE 3000",Laurent-Boulangerie Patisserie,Seats - Indoor,80
2002,"Gnd & Mezz , 306 Little Collins Street MELBOURNE 3000",Laurent-Boulangerie Patisserie,Seats - Outdoor,40
2002,145 Swanston Street MELBOURNE 3000,Golden Tower Restaurant,Seats - Outdoor,70
2002,143 Russell Street MELBOURNE 3000,Cafe Fontana,Seats - Indoor,15
2002,201-203 Bourke Street MELBOURNE 3000,KFC,Seats - Indoor,69
2002,201-203 Bourke Street MELBOURNE 3000,KFC,Seats - Outdoor,24
2002,239 Bourke Street MELBOURNE 3000,Delifrance - Bourke Street,Seats - Indoor,100
2002,6 Little Collins Street MELBOURNE 3000,Sarti,Seats - Indoor,32
2002,6 Little Collins Street MELBOURNE 3000,Sarti,Seats - Outdoor,24
2002,168 Little Collins Street MELBOURNE 3000,Il Bacaro Cucina E Bar,Seats - Indoor,44
2002,140 Swanston Street MELBOURNE 3000,L'Incontro,Seats - Outdoor,100
2002,122 Russell Street MELBOURNE 3000,Pizza Napoli,Seats - Indoor,90
2002,39 Bourke Street MELBOURNE 3000,Albie's Cafe,Seats - Indoor,20
2002,39 Bourke Street MELBOURNE 3000,Albie's Cafe,Seats - Outdoor,9
2002,49 Bourke Street MELBOURNE 3000,Twentyseconds Cafe,Seats - Indoor,50
2002,49 Bourke Street MELBOURNE 3000,Twentyseconds Cafe,Seats - Outdoor,14
2002,"Shop , 34 Little Collins Street MELBOURNE 3000",Basils Deli,Seats - Indoor,40
2002,"Floor 1, 20 Meyers Place MELBOURNE 3000",Waiters Restaurant,Seats - Indoor,55
2002,"Part Ground , 620 Bourke Street MELBOURNE 3000",Good 4 U,Seats - Outdoor,16
2002,"Part Ground , 620 Bourke Street MELBOURNE 3000",Hudson's Coffee,Seats - Indoor,31
2002,185 King Street MELBOURNE 3000,King Jons,Seats - Indoor,47
2002,"Part Gnd & Flr1 , 570 Bourke Street MELBOURNE 3000",Marland Cafe,Seats - Indoor,50
2002,"Shop 10, 500 Bourke Street MELBOURNE 3000",Coco's Take Away,Seats - Indoor,20
2002,"Ground , 480 Bourke Street MELBOURNE 3000",Gypsy Cafe,Seats - Outdoor,15
2002,"Ground , 441-443 Little Bourke Street MELBOURNE 3000",Shmik Cafe,Seats - Indoor,55
2002,"Shop 1, Ground , 471 Little Bourke Street MELBOURNE 3000",Legalities,Seats - Indoor,84
2002,"Shop 1, Ground , 471 Little Bourke Street MELBOURNE 3000",Legalities,Seats - Outdoor,12
2002,"Ground , 163 Queen Street MELBOURNE 3000",Food Lovers Cafe Deli,Seats - Indoor,80
2002,185-199 Queen Street MELBOURNE 3000,Medusa,Seats - Indoor,55
2002,"Ground , 180 William Street MELBOURNE 3000",Illia Cafe,Seats - Indoor,45
2002,32 Bourke Street MELBOURNE 3000,Soupnatural,Seats - Outdoor,16
2002,"Basement , 380 Bourke Street MELBOURNE 3000",Bourke's Restaurant,Seats - Indoor,100
2002,15 Hardware Lane MELBOURNE 3000,Hardware Lane Cafe & Bar,Seats - Outdoor,24
2002,369-371 Little Bourke Street MELBOURNE 3000,Seoul Restaurant,Seats - Indoor,90
2002,"Ground , 387 Little Bourke Street MELBOURNE 3000",Cafe All Angalo,Seats - Indoor,35
2002,"Shop 4, 37 Little Bourke Street MELBOURNE 3000",For People On The Go Fresh Express,Seats - Indoor,8
2002,"Shop 2, Part 393-397 Little Bourke Street MELBOURNE 3000",Segafredo Zanetti,Seats - Indoor,50
2002,"Ground , 174 Queen Street MELBOURNE 3000",Gust Cofetarie,Seats - Indoor,100
2002,"Basement , 265-279 Little Bourke Street MELBOURNE 3000",Ong International Food Court,Seats - Indoor,140
2002,"Ground , 211 Swanston Street MELBOURNE 3000",Yoyogi Japanese Cafe,Seats - Indoor,58
2002,"Shop 8, 246-260 Bourke Street MELBOURNE 3000",Starbucks Coffee Company,Seats - Indoor,50
2002,"Shop 18, 194-200 Bourke Street MELBOURNE 3000",Dessert House,Seats - Indoor,25
2002,"Ground , 180-182 Bourke Street MELBOURNE 3000",Hungry Jack's,Seats - Indoor,120
2002,195 Little Bourke Street MELBOURNE 3000,Banana Palm,Seats - Indoor,60
2002,163 Russell Street MELBOURNE 3000,Souvlaki Bar,Seats - Indoor,42
2002,171-173 Russell Street MELBOURNE 3000,Sapa House,Seats - Indoor,50
2002,160-162 Bourke Street MELBOURNE 3000,Skewers,Seats - Outdoor,4
2002,"Ground , 139 Bourke Street MELBOURNE 3000",Ginza Teppanyaki,Seats - Indoor,80
2002,"Level 1, 139 Bourke Street MELBOURNE 3000",Sawasdee Thai Restaurant,Seats - Indoor,140
2002,"Part Ground , 140 Bourke Street MELBOURNE 3000",Aki Japanese Resturant,Seats - Indoor,50
2002,131-135 Bourke Street MELBOURNE 3000,Shark Fin House,Seats - Indoor,180
2002,105 Little Bourke Street MELBOURNE 3000,Istana Malaysia Restaurant,Seats - Indoor,70
2002,"Gnd & Mezz , 115-117 Little Bourke Street MELBOURNE 3000",Mask of China Restaurant,Seats - Indoor,90
2002,"Ground , 18 Market Lane MELBOURNE 3000",Hofbrouhaus Restaurant,Seats - Indoor,150
2002,"Floor 1, 18 Market Lane MELBOURNE 3000",The International Lounge Bar,Seats - Indoor,50
2002,76 Bourke Street MELBOURNE 3000,Nudel Bar,Seats - Outdoor,11
2002,"Shop 2, 47-55 Little Bourke Street MELBOURNE 3000",Cafe Il Duca Bar,Seats - Indoor,62
2002,161 Spring Street MELBOURNE 3000,European,Seats - Indoor,140
2002,213-215 King Street MELBOURNE 3000,Soleil,Seats - Indoor,92
2002,213-215 King Street MELBOURNE 3000,Soleil,Seats - Outdoor,8
2002,"Shop 1, 225-237 King Street MELBOURNE 3000",European Grill,Seats - Indoor,80
2002,525 Lonsdale Street MELBOURNE 3000,Cafe Dominoes,Seats - Outdoor,64
2002,342 Elizabeth Street MELBOURNE 3000,Food Cube,Seats - Indoor,21
2002,75 Hardware Lane MELBOURNE 3000,Restaurant Vialetto,Seats - Outdoor,70
2002,78 Hardware Lane MELBOURNE 3000,The Coffee Cup,Seats - Outdoor,22
2002,64-66 Hardware Lane MELBOURNE 3000,Cafe Miro,Seats - Indoor,80
2002,64-66 Hardware Lane MELBOURNE 3000,Cafe Miro,Seats - Outdoor,25
2002,"Part Ground , 56 Hardware Lane MELBOURNE 3000",Relax Dine Unwine,Seats - Indoor,45
2002,383 Lonsdale Street MELBOURNE 3000,Star Bright Cafe,Seats - Outdoor,4
2002,"Unit 1, Part Ground , 400 Little Bourke Street MELBOURNE 3000",Cafe Malone,Seats - Indoor,100
2002,46-52 Little Bourke Street MELBOURNE 3000,Taste Buds of Melbourne,Seats - Outdoor,30
2002,"Shop 3, 200 Queen Street MELBOURNE 3000",Chambers Fine Foods,Seats - Outdoor,25
2002,237 Swanston Street MELBOURNE 3000,Gi Gi Japanese Sushi,Seats - Indoor,44
2002,"Ground , 241 Swanston Street MELBOURNE 3000",Mekong Vietnam,Seats - Indoor,50
2002,"Level 1, 243-249 Swanston Street MELBOURNE 3000",The Lounge,Seats - Indoor,170
2002,251-253 Swanston Street MELBOURNE 3000,Que Huong,Seats - Indoor,100
2002,Part 15 Heffernan Lane MELBOURNE 3000,Daily Cafe,Seats - Indoor,80
2002,195 Lonsdale Street MELBOURNE 3000,Antipodes,Seats - Outdoor,8
2002,"Part Ground , 203-207 Lonsdale Street MELBOURNE 3000",Dion,Seats - Outdoor,15
2002,209-211 Lonsdale Street MELBOURNE 3000,Medallion Cakes & Coffee Lounge,Seats - Indoor,105
2002,204 Little Bourke Street MELBOURNE 3000,Ling Nan Chinese Restaurant,Seats - Indoor,80
2002,"Ground , 178-190 Little Bourke Street MELBOURNE 3000",City BBQ Restaurant,Seats - Indoor,60
2002,"Ground , 213 Russell Street MELBOURNE 3000",Singapore Kopitiam,Seats - Indoor,35
2002,177-179 Russell Street MELBOURNE 3000,Stalactites Restaurant,Seats - Outdoor,10
2002,"Ground , 4 Tattersalls Lane MELBOURNE 3000",Gaylord Indian Restaurant,Seats - Indoor,100
2002,"Ground , 3-5 Waratah Place MELBOURNE 3000",Kum Den,Seats - Indoor,80
2002,"Ground , 11 Cohen Place MELBOURNE 3000",Lei Gardens Restaurant,Seats - Indoor,16
2002,"Ground , 22-26 Corrs Lane MELBOURNE 3000",Hong Kong Wonton House,Seats - Indoor,112
2002,"Ground , 113 Lonsdale Street MELBOURNE 3000",Cafe Centrum,Seats - Outdoor,6
2002,Part 123-129 Lonsdale Street MELBOURNE 3000,Cafe 123,Seats - Indoor,22
2002,120-122 Little Bourke Street MELBOURNE 3000,Empress of China,Seats - Indoor,110
2002,196-208 Russell Street MELBOURNE 3000,King Bo Chinese Restaurant,Seats - Indoor,400
2002,273 King Street MELBOURNE 3000,The King Indian Cafe,Seats - Indoor,16
2002,552 Lonsdale Street MELBOURNE 3000,Georges On Lonsdale,Seats - Outdoor,15
2002,"Part Ground , 255 William Street MELBOURNE 3000",Petty Sessions Cafe,Seats - Indoor,130
2002,10 Lonsdale Street MELBOURNE 3000,Sposabella,Seats - Indoor,60
2002,10 Lonsdale Street MELBOURNE 3000,Sposabella,Seats - Outdoor,20
2002,"Shop 3, 535 Little Lonsdale Street MELBOURNE 3000",Ciampini Bar & Cucina,Seats - Indoor,45
2002,"Shop 3, 535 Little Lonsdale Street MELBOURNE 3000",Ciampini Bar & Cucina,Seats - Outdoor,18
2002,"Shop 0, 535-0 Little Lonsdale Street MELBOURNE 3000",Delitalia,Seats - Outdoor,12
2002,"Shop 1, 535 Little Lonsdale Street MELBOURNE 3000",Flagstaff Cafe,Seats - Indoor,60
2002,"Ground , 374 Lonsdale Street MELBOURNE 3000",J 2 J Cafe,Seats - Indoor,35
2002,"Ground , 210 Lonsdale Street MELBOURNE 3000",Queen Vic Cafe,Seats - Indoor,60
2002,Part 275 Exhibition Street MELBOURNE 3000,Lim's Garden Inn,Seats - Indoor,85
2002,264-266 Russell Street MELBOURNE 3000,Lebanese House,Seats - Indoor,100
2002,"Ground , 36 Lonsdale Street MELBOURNE 3000",Jjs Connoissures,Seats - Indoor,60
2002,"Ground , 38 Lonsdale Street MELBOURNE 3000",JJ's Connoisseurs,Seats - Outdoor,30
2002,"Restaurant , 585 La Trobe Street MELBOURNE 3000",Elektrik Bar And Bistro,Seats - Indoor,50
2002,328-330 King Street MELBOURNE 3000,Russells Old Corner Shop Luncheon Room,Seats - Indoor,20
2002,324-326 King Street MELBOURNE 3000,Cafe Sonnex,Seats - Outdoor,6
2002,"Ground , 318 King Street MELBOURNE 3000",New Chatterbox Cafe,Seats - Indoor,70
2002,"Ground , 318 King Street MELBOURNE 3000",New Chatterbox Cafe,Seats - Outdoor,12
2002,"Part Ground , 469 La Trobe Street MELBOURNE 3000",Frescatis Fine Food Cafe,Seats - Outdoor,34
2002,"Rear Ground , 485 La Trobe Street MELBOURNE 3000",Schwobs Swiss,Seats - Indoor,70
2002,"Rear Ground , 485 La Trobe Street MELBOURNE 3000",Schwobs Swiss,Seats - Outdoor,20
2002,308 Little Lonsdale Street MELBOURNE 3000,Supanova Cafe Pty Ltd,Seats - Indoor,18
2002,308 Little Lonsdale Street MELBOURNE 3000,Supanova Cafe Pty Ltd,Seats - Outdoor,4
2002,"Shop 217, Level 2, 300 Lonsdale Street MELBOURNE 3000",Bb's Coffee & Croissants,Seats - Indoor,50
2002,"Shop 329, Level 3, 300 Lonsdale Street MELBOURNE 3000",Le Favourite Coffee Shoppe,Seats - Indoor,70
2002,"Shop 131, Level 1, 300 Lonsdale Street MELBOURNE 3000",The Ghost Gum & Emu,Seats - Indoor,175
2002,"Shop 1, Ground , 335-347 Swanston Street MELBOURNE 3000",Nando's,Seats - Indoor,64
2002,"Shop 1, Ground , 335-347 Swanston Street MELBOURNE 3000",Nando's,Seats - Outdoor,32
2002,303 Exhibition Street MELBOURNE 3000,Gobistro,Seats - Indoor,60
2002,309 Exhibition Street MELBOURNE 3000,Cafe Cosmic,Seats - Indoor,25
2002,"Lot 1, Part Ground , 347 King Street WEST MELBOURNE 3003",Phoenix Cafe,Seats - Outdoor,8
2002,"Part Level 5, 414 La Trobe Street MELBOURNE 3000",Maya's Kitchen,Seats - Indoor,88
2002,"Shop , LwrGround , 350 La Trobe Street MELBOURNE 3000",The Basement Cafe,Seats - Outdoor,8
2002,"Part Lobby 0, 300-0 La Trobe Street MELBOURNE 3000",Argus Concierge,Seats - Outdoor,8
2002,"Unit 1, 200 La Trobe Street MELBOURNE 3000",Spicey Noodle Cafe,Seats - Indoor,75
2002,70-72 Little La Trobe Street MELBOURNE 3000,Kimchi House,Seats - Indoor,42
2002,"Floor 1, 36 Little La Trobe Street MELBOURNE 3000",Nylon Cafe,Seats - Indoor,50
2002,381 Swanston Street MELBOURNE 3000,Hungry Jack's,Seats - Indoor,154
2002,"Floor 1, 124 La Trobe Street MELBOURNE 3000",Caffeine At Re Vault,Seats - Outdoor,16
2002,"Part Level 4, 124 La Trobe Street MELBOURNE 3000",Eats Cafe,Seats - Indoor,260
2002,"Ground , 390 Spencer Street WEST MELBOURNE 3003",Moulin Rouge,Seats - Indoor,45
2002,"Ground , 390 Spencer Street WEST MELBOURNE 3003",Moulin Rouge,Seats - Outdoor,4
2002,"Ground , 362 Spencer Street WEST MELBOURNE 3003",Breakfast Cafe,Seats - Indoor,50
2002,106 A'Beckett Street MELBOURNE 3000,Cafe 108,Seats - Outdoor,16
2002,433 Elizabeth Street MELBOURNE 3000,Wings 433 Cafe,Seats - Indoor,28
2002,"Part Ground , 167 Franklin Street MELBOURNE 3000",Cafe Bakpak,Seats - Indoor,40
2002,408 Queen Street MELBOURNE 3000,Arrivederci Aroma,Seats - Outdoor,16
2002,"Shop 3, Ground , 422-440 Elizabeth Street MELBOURNE 3000",The Garden Cafe,Seats - Indoor,40
2002,157-159 Victoria Street MELBOURNE 3000,Josies Food Bar,Seats - Indoor,48
2002,157-159 Victoria Street MELBOURNE 3000,Josies Food Bar,Seats - Outdoor,14
2002,"Stall 7, 50 Peel Street MELBOURNE 3000",Romeo Takeaway Cafe,Seats - Outdoor,28
2002,"Stall 20, 50 Peel Street MELBOURNE 3000",Tribel Cafe,Seats - Indoor,16
2002,77 Victoria Street MELBOURNE 3000,Cafe Verona,Seats - Indoor,16
2002,81 Victoria Street MELBOURNE 3000,Vic Fish Licensed Cafe,Seats - Indoor,26
2002,507 Elizabeth Street MELBOURNE 3000,Le Croissant Des Halles,Seats - Outdoor,44
2002,487 Elizabeth Street MELBOURNE 3000,Cafe Scaletti,Seats - Outdoor,12
2002,501-503 Elizabeth Street MELBOURNE 3000,McDonald's,Seats - Indoor,130
2002,464 Therry Street MELBOURNE 3000,Fine Food Corner,Seats - Indoor,15
2002,420 Swanston Street MELBOURNE 3000,City Baths Cafe,Seats - Indoor,107
2002,512A-512B Elizabeth Street MELBOURNE 3000,Piazza Vittoria,Seats - Outdoor,50
2002,18-38 Siddeley Street DOCKLANDS 3005,Full House Takeaway,Seats - Indoor,84
2002,221 Faraday Street CARLTON 3053,Thresherman's Bakehouse,Seats - Outdoor,42
2002,233 Faraday Street CARLTON 3053,Geneveve Restaurant,Seats - Indoor,60
2002,88 Lygon Street CARLTON 3053,Toki Japanese Restaurant,Seats - Indoor,33
2002,215 Lygon Street CARLTON 3053,Il Gambero Restaurant,Seats - Outdoor,48
2002,219 Lygon Street CARLTON 3053,Pappa Gino's Pizza Restaurant,Seats - Indoor,100
2002,225 Lygon Street CARLTON 3053,Cafe Corretto,Seats - Indoor,80
2002,237 Lygon Street CARLTON 3053,Gelare Cafe,Seats - Indoor,30
2002,247 Lygon Street CARLTON 3053,Starbucks Coffee Company,Seats - Indoor,80
2002,247 Lygon Street CARLTON 3053,Starbucks Coffee Company,Seats - Outdoor,18
2002,255 Lygon Street CARLTON 3053,Universita Cafe,Seats - Outdoor,40
2002,263 Lygon Street CARLTON 3053,Lygon Food Store,Seats - Outdoor,30
2002,275 Lygon Street CARLTON 3053,Lygon Street Cafe,Seats - Indoor,13
2002,275 Lygon Street CARLTON 3053,Lygon Street Cafe,Seats - Outdoor,15
2002,305 Lygon Street CARLTON 3053,Tiamo 2,Seats - Indoor,65
2002,341 Lygon Street CARLTON 3053,Intersection Cafe,Seats - Indoor,39
2002,400 Lygon Street CARLTON 3053,Trotters Restaurant,Seats - Indoor,20
2002,"Shop 27, 368 Lygon Street CARLTON 3053",The Connoisseurs Cafe Bar,Seats - Indoor,50
2002,48 Grattan Street CARLTON 3053,Il Vicolo,Seats - Indoor,116
2002,334 Lygon Street CARLTON 3053,Key On The Wall Restaurant,Seats - Indoor,95
2002,316 Lygon Street CARLTON 3053,Copperwood,Seats - Indoor,360
2002,316 Lygon Street CARLTON 3053,Copperwood,Seats - Outdoor,44
2002,306 Lygon Street CARLTON 3053,Dimattina's Restaurant Bar,Seats - Indoor,90
2002,294 Lygon Street CARLTON 3053,Cafe Trevi,Seats - Indoor,120
2002,294 Lygon Street CARLTON 3053,Cafe Trevi,Seats - Outdoor,40
2002,109 Elgin Street CARLTON 3053,Abla's Restaurant,Seats - Indoor,60
2002,118 Elgin Street CARLTON 3053,Jakarta Indonesian Seafood Restaurant,Seats - Outdoor,12
2002,114 Rathdowne Street CARLTON 3053,Paris Go Bistro,Seats - Indoor,60
2002,154 Rathdowne Street CARLTON 3053,Carlton Chinese Noodle Cafe,Seats - Indoor,23
2002,176 Rathdowne Street CARLTON 3053,Carlton Curry House,Seats - Indoor,35
2002,168 Rathdowne Street CARLTON 3053,La Contadina Restaurant,Seats - Indoor,60
2002,168 Rathdowne Street CARLTON 3053,La Contadina Restaurant,Seats - Outdoor,16
2002,164 Rathdowne Street CARLTON 3053,Kumichan Japanses Cafe,Seats - Indoor,40
2002,160 Rathdowne Street CARLTON 3053,Arc Cafe,Seats - Indoor,32
2002,163 Grattan Street CARLTON 3053,Le Cafe Francais,Seats - Indoor,33
2002,154 Lincoln Square North CARLTON 3053,Bouverie Deli,Seats - Outdoor,16
2002,89 Grattan Street CARLTON 3053,Lucky Cup,Seats - Indoor,30
2002,169 Lygon Street CARLTON 3053,Yan Tea House,Seats - Indoor,40
2002,173 Lygon Street CARLTON 3053,Tica-Tera's Pizza Restaurant,Seats - Outdoor,16
2002,189 Lygon Street CARLTON 3053,Boccelle,Seats - Outdoor,16
2002,191 Lygon Street CARLTON 3053,Nyonya Restaurant,Seats - Indoor,100
2002,201 Lygon Street CARLTON 3053,Borsari Ristorante,Seats - Indoor,70
2002,111 Grattan Street CARLTON 3053,Tigerlily Cafe,Seats - Indoor,48
2002,111 Grattan Street CARLTON 3053,Tigerlily Cafe,Seats - Outdoor,25
2002,258 Lygon Street CARLTON 3053,Gurkhas,Seats - Indoor,100
2002,258 Lygon Street CARLTON 3053,Gurkhas,Seats - Outdoor,15
2002,256 Lygon Street CARLTON 3053,Il Gusto,Seats - Indoor,75
2002,240 Lygon Street CARLTON 3053,Piccolo Mondo,Seats - Outdoor,24
2002,234 Lygon Street CARLTON 3053,Via Veneto,Seats - Outdoor,50
2002,232 Lygon Street CARLTON 3053,Sale E Pepe,Seats - Outdoor,22
2002,218 Drummond Street CARLTON 3053,La Cacciatora Restaurant,Seats - Indoor,80
2002,218 Drummond Street CARLTON 3053,La Cacciatora Restaurant,Seats - Outdoor,30
